"count","found"
"Luxembourg",119500000
"Denmark",1106800000
"Malta",1449900000
"Cyprus",1471300000
"Ireland",2377100000
"Austria",2471200000
"Netherlands",2808600000
"Finland",2931500000
"Sweden",4211600000
"Belgium",4567800000
"Slovenia",6149600000
"Estonia",7179900000
"Latvia",9023600000
"Lithuania",13646300000
"Bulgaria",15176900000
"Croatia",17218700000
"United Kingdom",23679800000
"Slovakia",27983500000
"Greece",31043800000
"France",31704900000
"Germany",38469800000
"Portugal",42929900000
"Hungary",43811800000
"Czech Republic",43965800000
"Romania",45987600000
"Spain",5.7119e+10
"Italy",6.5646e+10
"Poland",155133900000
